Date,Country,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
August 31 2023,Wichita,TX,Passenger,2,0,2,33,35,5.71
May 31 2022,Honolulu,HI,Passenger,5,4,9,368,377,2.39
July 31 2018,Twin Falls,ID,Passenger,0,1,1,24,25,4
August 31 2022,Sevier,AR,Passenger,0,1,1,0,1,100
May 31 2021,Skamania,WA,Passenger,43,32,75,8386,8461,0.89
July 31 2022,Newport,RI,Passenger,0,1,1,66,67,1.49
June 30 2018,Island,WA,Passenger,197,189,386,62509,62895,0.61
November 30 2017,Whitman,WA,Truck,0,0,0,8439,8439,0
February 28 2018,Frederick,MD,Passenger,0,1,1,90,91,1.1
October 31 2023,Hardin,KY,Passenger,1,0,1,51,52,1.92
February 28 2018,Portsmouth,VA,Passenger,0,1,1,71,72,1.39
October 31 2021,DeKalb,GA,Passenger,1,0,1,62,63,1.59
January 31 2020,Whatcom,WA,Passenger,1032,486,1518,151747,153265,0.99
May 31 2021,Kittitas,WA,Truck,0,0,0,14769,14769,0
September 30 2020,Newport,RI,Passenger,0,1,1,83,84,1.19
May 31 2019,District of Columbia,DC,Passenger,1,1,2,204,206,0.97
October 31 2023,Escambia,FL,Passenger,0,1,1,122,123,0.81
July 31 2023,Jefferson,WA,Passenger,576,262,838,24260,25098,3.34
August 31 2018,Clallam,WA,Passenger,128,115,243,50120,50363,0.48
November 30 2023,Monterey,CA,Passenger,0,4,4,113,117,3.42
August 31 2023,Anne Arundel,MD,Passenger,5,3,8,284,292,2.74
August 31 2022,Deschutes,OR,Passenger,2,0,2,87,89,2.25
February 28 2017,Essex,NJ,Passenger,1,0,1,18,19,5.26
November 30 2023,Adams,CO,Passenger,1,0,1,17,18,5.56
March 31 2021,Columbia,WA,Passenger,5,4,9,2465,2474,0.36
February 28 2017,Deschutes,OR,Passenger,1,0,1,207,208,0.48
April 30 2022,Harford,MD,Passenger,1,1,2,49,51,3.92
November 30 2022,Pacific,WA,Passenger,70,79,149,15730,15879,0.94
May 31 2019,El Paso,CO,Passenger,2,1,3,753,756,0.4
July 31 2017,Benton,WA,Truck,0,0,0,40129,40129,0
October 31 2019,Alexandria,VA,Passenger,1,0,1,142,143,0.7
January 31 2022,Douglas,NE,Passenger,1,2,3,50,53,5.66
May 31 2018,Twin Falls,ID,Passenger,0,1,1,24,25,4
October 31 2019,Powhatan,VA,Passenger,1,0,1,1,2,50
March 31 2021,Skagit,WA,Passenger,539,260,799,91567,92366,0.87
February 28 2023,Asotin,WA,Passenger,30,20,50,12432,12482,0.4
October 31 2022,Lewis,WA,Passenger,260,181,441,59863,60304,0.73
December 31 2018,Jefferson,CO,Passenger,0,2,2,61,63,3.17
February 28 2023,Providence,RI,Passenger,1,0,1,18,19,5.26
June 30 2022,New London,CT,Passenger,3,3,6,188,194,3.09
September 30 2019,Rogers,OK,Passenger,1,0,1,6,7,14.29
January 31 2023,Franklin,WA,Truck,4,0,4,20960,20964,0.02
February 29 2024,Mobile,AL,Passenger,1,0,1,22,23,4.35
June 30 2023,Rockdale,GA,Passenger,1,0,1,5,6,16.67
May 31 2018,Mason,WA,Passenger,77,91,168,45588,45756,0.37
November 30 2018,Lane,OR,Passenger,0,1,1,179,180,0.56
January 31 2024,New London,CT,Passenger,2,2,4,144,148,2.7
September 30 2021,Flathead,MT,Passenger,1,0,1,52,53,1.89
February 29 2024,Montgomery,MD,Passenger,6,2,8,156,164,4.88
August 31 2019,Multnomah,OR,Passenger,5,6,11,760,771,1.43
March 31 2017,Pima,AZ,Passenger,0,2,2,454,456,0.44
March 31 2020,Bexar,TX,Passenger,1,5,6,646,652,0.92
June 30 2023,Lincoln,WA,Truck,0,0,0,4861,4861,0
April 30 2023,Madison,IL,Passenger,2,0,2,17,19,10.53
September 30 2019,Mason,WA,Passenger,133,127,260,47431,47691,0.55
December 31 2021,Jefferson,WA,Passenger,381,194,575,24740,25315,2.27
September 30 2018,Duval,FL,Passenger,1,2,3,385,388,0.77
June 30 2019,Clark,WA,Truck,0,0,0,80320,80320,0
August 31 2022,Loudoun,VA,Passenger,2,1,3,64,67,4.48
January 31 2022,Yavapai,AZ,Passenger,0,1,1,36,37,2.7
May 31 2019,Garfield,WA,Passenger,1,1,2,1292,1294,0.15
November 30 2017,Maricopa,AZ,Passenger,2,1,3,1676,1679,0.18
April 30 2017,Monterey,CA,Passenger,0,1,1,212,213,0.47
June 30 2020,San Joaquin,CA,Passenger,1,0,1,130,131,0.76
September 30 2020,Prince George's,MD,Passenger,2,1,3,158,161,1.86
December 31 2023,Arapahoe,CO,Passenger,1,1,2,64,66,3.03
June 30 2023,Williamsburg,VA,Passenger,0,1,1,5,6,16.67
July 31 2023,Escambia,FL,Passenger,0,1,1,133,134,0.75
February 29 2024,El Paso,TX,Passenger,3,0,3,242,245,1.22
June 30 2023,Cowlitz,WA,Truck,9,0,9,28285,28294,0.03
January 31 2020,Ventura,CA,Passenger,0,2,2,309,311,0.64
November 30 2022,Snohomish,WA,Truck,78,0,78,122683,122761,0.06
August 31 2021,Washington,MD,Passenger,2,0,2,11,13,15.38
November 30 2020,Ramsey,MN,Passenger,1,0,1,36,37,2.7
September 30 2019,Santa Fe,NM,Passenger,0,1,1,42,43,2.33
September 30 2022,Tarrant,TX,Passenger,2,0,2,111,113,1.77
November 30 2023,Cook,IL,Passenger,3,1,4,137,141,2.84
March 31 2022,Hamilton,IN,Passenger,1,0,1,25,26,3.85
September 30 2020,Vigo,IN,Passenger,1,0,1,6,7,14.29
August 31 2019,Mercer,NJ,Passenger,0,1,1,19,20,5
August 31 2017,Montgomery,TN,Passenger,1,0,1,283,284,0.35
October 31 2023,Cumberland,PA,Passenger,1,1,2,35,37,5.41
April 30 2022,RÃ­o Grande,PR,Passenger,1,0,1,0,1,100
May 31 2019,Walla Walla,WA,Passenger,46,57,103,36160,36263,0.28
December 31 2019,Lincoln,WA,Passenger,1,11,12,7805,7817,0.15
August 31 2018,El Paso,CO,Passenger,3,1,4,768,772,0.52
January 31 2020,Jefferson,NY,Passenger,0,1,1,217,218,0.46
March 31 2018,Deschutes,OR,Passenger,1,0,1,179,180,0.56
April 30 2019,Okanogan,WA,Passenger,20,22,42,26015,26057,0.16
April 30 2023,Escambia,FL,Passenger,0,1,1,138,139,0.72
August 31 2019,,,Passenger,5,2,7,416,423,1.65
June 30 2017,Arlington,VA,Passenger,1,1,2,170,172,1.16
May 31 2022,Hudson,NJ,Passenger,2,0,2,40,42,4.76
February 28 2022,Eagle,CO,Passenger,1,0,1,7,8,12.5
June 30 2020,Mason,WA,Passenger,159,133,292,47260,47552,0.61
July 31 2017,Asotin,WA,Passenger,8,4,12,12434,12446,0.1
February 28 2018,Hardin,KY,Passenger,0,1,1,111,112,0.89
June 30 2023,Goochland,VA,Passenger,1,2,3,44,47,6.38
February 29 2024,Allegheny,PA,Passenger,1,0,1,43,44,2.27
November 30 2018,Randolph,NC,Passenger,1,0,1,5,6,16.67
October 31 2017,Arlington,VA,Passenger,1,2,3,172,175,1.71
August 31 2017,Santa Rosa,FL,Passenger,1,0,1,113,114,0.88
June 30 2022,Carroll,MD,Passenger,0,1,1,16,17,5.88
May 31 2021,Dakota,MN,Passenger,0,1,1,29,30,3.33
May 31 2018,Queens,NY,Passenger,1,0,1,64,65,1.54
April 30 2023,Maui,HI,Passenger,1,0,1,21,22,4.55
December 31 2021,Thurston,WA,Truck,0,0,0,56001,56001,0
January 31 2017,Yakima,WA,Truck,0,0,0,57336,57336,0
August 31 2023,Providence,RI,Passenger,1,0,1,17,18,5.56
February 29 2020,Fort Bend,TX,Passenger,1,0,1,49,50,2
April 30 2023,Broward,FL,Passenger,1,0,1,67,68,1.47
April 30 2023,Columbia,WA,Passenger,8,1,9,2408,2417,0.37
January 31 2021,Pacific,WA,Passenger,35,37,72,15788,15860,0.45
October 31 2022,Ada,ID,Passenger,1,0,1,151,152,0.66
March 31 2022,Wichita,TX,Passenger,1,0,1,42,43,2.33
August 31 2021,Orange,FL,Passenger,2,0,2,117,119,1.68
May 31 2019,Bucks,PA,Passenger,1,0,1,20,21,4.76
July 31 2018,Island,WA,Passenger,206,195,401,62558,62959,0.64
October 31 2020,Calvert,MD,Passenger,0,2,2,84,86,2.33
May 31 2022,Fairbanks North Star,AK,Passenger,0,1,1,78,79,1.27
February 29 2024,Sarpy,NE,Passenger,1,0,1,49,50,2
November 30 2023,Yakima,WA,Truck,16,0,16,60318,60334,0.03
December 31 2017,Asotin,WA,Truck,0,0,0,6543,6543,0
June 30 2019,Benton,WA,Passenger,258,279,537,133769,134306,0.4
March 31 2019,Columbia,WA,Truck,0,0,0,1527,1527,0
January 31 2020,Stafford,VA,Passenger,1,1,2,97,99,2.02
September 30 2019,Chelan,WA,Passenger,174,71,245,54504,54749,0.45
April 30 2020,Moore,NC,Passenger,0,1,1,166,167,0.6
December 31 2021,Okaloosa,FL,Passenger,0,1,1,116,117,0.85
June 30 2023,Hudson,NJ,Passenger,1,0,1,19,20,5
April 30 2017,Fulton,GA,Passenger,1,1,2,118,120,1.67
September 30 2018,Houston,GA,Passenger,1,0,1,54,55,1.82
June 30 2021,Clinton,PA,Passenger,1,0,1,0,1,100
December 31 2019,San Diego,CA,Passenger,10,3,13,2787,2800,0.46
December 31 2017,Fulton,GA,Passenger,1,0,1,105,106,0.94
February 28 2019,Honolulu,HI,Passenger,2,3,5,514,519,0.96
April 30 2018,Santa Rosa,FL,Passenger,1,0,1,102,103,0.97
November 30 2022,Champaign,IL,Passenger,1,0,1,12,13,7.69
November 30 2023,Santa Clara,CA,Passenger,11,2,13,141,154,8.44
December 31 2019,Bucks,PA,Passenger,1,0,1,23,24,4.17
February 29 2024,Sarasota,FL,Passenger,1,0,1,19,20,5
September 30 2020,Douglas,CO,Passenger,0,1,1,81,82,1.22
December 31 2022,Cumberland,PA,Passenger,1,0,1,42,43,2.33
December 31 2017,Pierce,WA,Passenger,1071,963,2034,526352,528386,0.38
July 31 2022,Garfield,WA,Passenger,1,3,4,1321,1325,0.3
August 31 2018,DeKalb,IN,Passenger,1,0,1,1,2,50
December 31 2023,Miami-Dade,FL,Passenger,1,0,1,48,49,2.04
October 31 2023,Alexandria,VA,Passenger,3,1,4,79,83,4.82
March 31 2019,Stevens,WA,Passenger,18,27,45,31616,31661,0.14
June 30 2021,Island,WA,Passenger,617,317,934,63149,64083,1.46
October 31 2023,Pacific,WA,Passenger,89,100,189,15470,15659,1.21
May 31 2023,Anchorage,AK,Passenger,1,0,1,105,106,0.94
March 31 2018,Travis,TX,Passenger,1,1,2,196,198,1.01
January 31 2017,Loudoun,VA,Passenger,0,1,1,89,90,1.11
April 30 2022,Sonoma,CA,Passenger,0,1,1,86,87,1.15
December 31 2020,Flathead,MT,Passenger,1,0,1,56,57,1.75
May 31 2019,Juneau,AK,Passenger,0,2,2,32,34,5.88
December 31 2021,Manassas,VA,Passenger,0,1,1,7,8,12.5
July 31 2018,Spokane,WA,Truck,1,0,1,92852,92853,0
November 30 2020,Cowlitz,WA,Truck,0,0,0,28869,28869,0
August 31 2021,Maricopa,AZ,Passenger,6,5,11,1233,1244,0.88
November 30 2023,,,Passenger,5,0,5,231,236,2.12
June 30 2023,Pend Oreille,WA,Passenger,30,13,43,8887,8930,0.48
December 31 2020,Sedgwick,KS,Passenger,1,1,2,92,94,2.13
January 31 2021,Hampshire,MA,Passenger,1,0,1,8,9,11.11
June 30 2023,Kent,DE,Passenger,1,0,1,47,48,2.08
July 31 2020,Powhatan,VA,Passenger,1,0,1,1,2,50
December 31 2023,King,WA,Passenger,68928,16519,85447,1303450,1388897,6.15
June 30 2021,Chelan,WA,Passenger,336,99,435,54739,55174,0.79
August 31 2018,El Paso,TX,Passenger,1,0,1,510,511,0.2
January 31 2022,Montgomery,TX,Passenger,1,1,2,40,42,4.76
October 31 2021,Juneau,AK,Passenger,0,1,1,30,31,3.23
October 31 2022,Santa Cruz,CA,Passenger,1,0,1,26,27,3.7
November 30 2021,Ferry,WA,Passenger,13,3,16,4457,4473,0.36
July 31 2021,Eagle,CO,Passenger,1,0,1,9,10,10
October 31 2021,Grant,WA,Truck,0,0,0,28006,28006,0
May 31 2017,Canyon,ID,Passenger,0,1,1,104,105,0.95
April 30 2021,New York,NY,Passenger,1,0,1,51,52,1.92
July 31 2021,Oldham,KY,Passenger,0,1,1,4,5,20
May 31 2019,Okanogan,WA,Truck,0,0,0,16505,16505,0
June 30 2021,San Joaquin,CA,Passenger,1,0,1,111,112,0.89
November 30 2022,DuPage,IL,Passenger,2,1,3,43,46,6.52
October 31 2023,Whatcom,WA,Truck,77,0,77,42319,42396,0.18
May 31 2017,Kent,MI,Passenger,0,1,1,35,36,2.78
June 30 2018,Brevard,FL,Passenger,0,1,1,94,95,1.05
August 31 2020,Walla Walla,WA,Truck,0,0,0,13749,13749,0
October 31 2018,Frederick,MD,Passenger,0,1,1,83,84,1.19
March 31 2021,Missoula,MT,Passenger,1,0,1,67,68,1.47
November 30 2017,Multnomah,OR,Passenger,3,3,6,906,912,0.66
December 31 2020,Garfield,WA,Passenger,0,2,2,1365,1367,0.15
July 31 2021,Whitman,WA,Truck,0,0,0,8594,8594,0
May 31 2021,Franklin,WA,Passenger,117,95,212,61938,62150,0.34
July 31 2022,Ada,ID,Passenger,1,0,1,172,173,0.58
May 31 2020,Whitman,WA,Truck,0,0,0,8516,8516,0
August 31 2019,Pacific,WA,Truck,0,0,0,7677,7677,0
October 31 2023,Rock Island,IL,Passenger,0,1,1,12,13,7.69
June 30 2020,RÃ­o Grande,PR,Passenger,1,0,1,1,2,50
October 31 2019,Stevens,WA,Passenger,29,28,57,31609,31666,0.18
June 30 2017,San Juan,WA,Passenger,107,40,147,13549,13696,1.07
May 31 2022,Oldham,KY,Passenger,0,1,1,4,5,20
November 30 2023,Albemarle,VA,Passenger,2,0,2,14,16,12.5
January 31 2024,Harnett,NC,Passenger,4,0,4,131,135,2.96
September 30 2023,Ulster,NY,Passenger,1,0,1,6,7,14.29
January 31 2023,Clark,WA,Passenger,5075,2072,7147,314513,321660,2.22
May 31 2020,Wahkiakum,WA,Passenger,6,6,12,2965,2977,0.4
September 30 2021,Fort Bend,TX,Passenger,1,0,1,38,39,2.56
August 31 2023,Mercer,NJ,Passenger,0,1,1,12,13,7.69
December 31 2021,Spokane,WA,Passenger,1307,758,2065,327108,329173,0.63
February 28 2021,Arapahoe,CO,Passenger,1,0,1,129,130,0.77
January 31 2021,Nassau,FL,Passenger,1,0,1,35,36,2.78
May 31 2019,King,WA,Passenger,18614,6947,25561,1386918,1412479,1.81
December 31 2022,Bexar,TX,Passenger,4,3,7,422,429,1.63
May 31 2023,Orange,CA,Passenger,8,3,11,328,339,3.24
October 31 2022,Island,WA,Passenger,899,388,1287,61468,62755,2.05
February 28 2017,Stevens,WA,Passenger,6,21,27,31311,31338,0.09
July 31 2023,Wake,NC,Passenger,2,0,2,78,80,2.5
September 30 2018,,,Passenger,3,2,5,425,430,1.16
January 31 2019,Mason,WA,Passenger,108,113,221,46645,46866,0.47
July 31 2022,Chelan,WA,Truck,4,0,4,23041,23045,0.02
June 30 2020,Ferry,WA,Truck,0,0,0,3556,3556,0
December 31 2023,Muscogee,GA,Passenger,0,1,1,81,82,1.22
January 31 2019,Montgomery,TX,Passenger,2,0,2,64,66,3.03
July 31 2023,Randolph,NC,Passenger,1,0,1,3,4,25
March 31 2021,Clark,NV,Passenger,5,2,7,661,668,1.05
December 31 2021,El Paso,CO,Passenger,3,0,3,679,682,0.44
November 30 2017,Montgomery,MD,Passenger,1,0,1,304,305,0.33
January 31 2023,Wichita,TX,Passenger,2,0,2,37,39,5.13
June 30 2019,Harnett,NC,Passenger,1,1,2,224,226,0.88
May 31 2022,Nassau,NY,Passenger,3,0,3,33,36,8.33
June 30 2021,Clark,WA,Truck,0,0,0,84312,84312,0
February 28 2021,Lewis,WA,Truck,0,0,0,26703,26703,0
June 30 2018,Lewis,WA,Passenger,80,61,141,57687,57828,0.24
June 30 2023,San Diego,CA,Passenger,19,7,26,2094,2120,1.23
March 31 2023,Loudoun,VA,Passenger,3,1,4,59,63,6.35
July 31 2020,New London,CT,Passenger,1,1,2,237,239,0.84
July 31 2022,DuPage,IL,Passenger,2,1,3,49,52,5.77
March 31 2022,Goochland,VA,Passenger,4,2,6,165,171,3.51
May 31 2018,Pierce,WA,Passenger,1185,1125,2310,530380,532690,0.43
September 30 2021,Spokane,WA,Passenger,1186,703,1889,325970,327859,0.58
January 31 2023,Lake,IL,Passenger,1,0,1,128,129,0.78
